bookNo,bookName,bookAuthor,bookPrice,bookDate,bookStock,pubNo
1001,데이터베이스 이론,홍길동,22000,11/11/18,5,3
1002,자바 프로그래밍,이몽룡,25000,12/12/20,4,1
1003,인터넷프로그래밍,성춘향,30000,2/10/19,10,2
1004,안드로이드 프로그래밍,변학도,23000,10/10/17,2,1
1005,안드로이드 앱,강길동,26000,1/11/19,5,2
1006,MS SQL SERVER 2014,박지성,35000,3/25/19,7,3
1007,HTML & CSS,손홍민,18000,1/30/21,3,1
1008,MFC 입문,류현진,20000,12/12/14,5,1
1009,안드로이드 게임 제작,나길동,33000,10/31/17,5,2
1010,C++객체지향 프로그래밍,추신수,24000,4/20/18,2,3
1011,JSP 웹 프로그래밍,김연아,27000,10/23/19,8,1
1012,해커들의 해킹 기법,손연재,32000,7/7/17,1,2
1013,자료구조,홍길동,19000,1/20/19,4,1
1014,웹 해킹과 침해사고 분석,성춘향,35000,11/25/17,5,2
1015,자바스크립 & jQuery,홍길동,27000,10/22/18,2,2
