,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
0,서울특별시,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),HD현대오일뱅크,02-2216-7155,Y,1820,1597,1497,-
1,서울특별시,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,02-969-1144,Y,1820,1597,1497,-
2,서울특별시,재정제2주유소,서울 동대문구 사가정로 90 (전농동),HD현대오일뱅크,02-2249-6682,Y,-,1607,1507,-
3,서울특별시,재정주유소,서울 동대문구 전농로 121 (전농동),HD현대오일뱅크,070-8256-4617,Y,1830,1607,1507,-
4,서울특별시,풍한주유소,서울 동대문구 안암로 168,SK에너지,02-924-5189,N,-,1615,1515,-
5,서울특별시,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,02-966-5451,Y,1829,1629,1529,-
6,서울특별시,(주)경동주유소,서울 동대문구 이문로 191 (이문동),S-OIL,02-965-6006,Y,-,1635,1535,1500
7,서울특별시,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),GS칼텍스,02-966-2714,Y,-,1635,1535,-
8,서울특별시,열린주유소,서울 동대문구 한천로 263 (휘경동),S-OIL,02-2215-6543,N,-,1639,1539,-
9,서울특별시,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),HD현대오일뱅크,02-2214-9890,N,-,1645,1599,1490
10,서울특별시,(주)파랑에너지,서울 동대문구 망우로 126,GS칼텍스,02-2242-5145,Y,1860,1645,1545,1400
11,서울특별시,삼영주유소,서울 동대문구 답십리로 258 (장안동),SK에너지,02-2217-2018,N,-,1647,1547,1700
12,서울특별시,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),S-OIL,02-966-9190,N,-,1667,1577,1500
13,서울특별시,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,02-2244-1972,Y,-,1668,1568,1360
14,서울특별시,HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),HD현대오일뱅크,02-2216-5151,N,1879,1669,1559,-
15,서울특별시,배봉로주유소,서울 동대문구 서울시립대로 108,HD현대오일뱅크,02-2242-0556,Y,-,1695,1595,-
16,서울특별시,오동나무주유소,서울 동대문구  한천로 81 (답십리동),S-OIL,02-2247-5132,N,-,1718,1608,1550
17,서울특별시,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),SK에너지,02-2242-7115,Y,-,1724,1624,-
0,서울특별시,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,HD현대오일뱅크,070-8879-7864,Y,-,1593,1494,-
1,서울특별시,남정주유소,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,02-305-9828,N,-,1598,1528,1750
2,서울특별시,(주)한화미 구도일주유소 두꺼비,서울 서대문구 성산로 312,S-OIL,02-336-0611,Y,1833,1599,1513,-
3,서울특별시,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,GS칼텍스,02-736-3708,Y,1854,1604,1509,-
4,서울특별시,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),HD현대오일뱅크,02-379-0753,N,-,1609,1529,1800
5,서울특별시,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,02-304-5522,Y,-,1613,1518,-
6,서울특별시,HD현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),HD현대오일뱅크,02-735-0333,N,1848,1619,1539,-
7,서울특별시,HD현대오일뱅크㈜직영 연세주유소,서울 서대문구 연희로 184,HD현대오일뱅크,02-337-8220,Y,1834,1634,1554,-
8,서울특별시,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),SK에너지,070-8707-4568,Y,1938,1645,1545,-
9,서울특별시,행촌제2주유소,서울 서대문구 성산로 490 (대신동),SK에너지,02-365-5189,Y,1847,1659,1586,-
10,서울특별시,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,02-336-6151,Y,1858,1668,1588,-
11,서울특별시,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),S-OIL,02-395-4300,Y,-,1689,1629,1650
12,서울특별시,삼미상사(주)서부주유소,서울 서대문구 성산로 255,SK에너지,02-334-4919,Y,-,1694,1624,-
13,서울특별시,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),SK에너지,02-338-8045,N,1988,1698,1618,-
14,서울특별시,광호주유소,서울 서대문구 연희로 266 (홍은동),SK에너지,02-395-7236,N,-,1698,1618,-
0,서울특별시,(주)장수주유소,서울 광진구 동일로 266 (군자동),SK에너지,02-498-1981,Y,-,1615,1517,-
1,서울특별시,(주)창원CW,서울 광진구 광나루로 460 (화양동),HD현대오일뱅크,02-3436-1112,Y,-,1619,1515,-
2,서울특별시,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),HD현대오일뱅크,02-452-7723,Y,1895,1619,1515,1490
3,서울특별시,대원주유소,서울 광진구 용마산로 122 (중곡동),S-OIL,02-444-1666,N,-,1625,1525,-
4,서울특별시,용마주유소,서울 광진구 용마산로 68 (중곡동),GS칼텍스,02-456-1884,N,-,1625,1525,-
5,서울특별시,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),HD현대오일뱅크,02-447-9796,Y,-,1628,1540,-
6,서울특별시,HD현대오일뱅크㈜직영 중원셀프주유소,서울 광진구 동일로 398 (중곡동),HD현대오일뱅크,02-467-2410,Y,1875,1628,1529,1570
7,서울특별시,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),HD현대오일뱅크,02-497-5151,Y,1895,1628,1529,-
8,서울특별시,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),S-OIL,02-461-5152,Y,1847,1667,1567,-
9,서울특별시,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,02-455-7200,Y,1977,1697,1627,-
10,서울특별시,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,02-457-7600,N,1998,1748,1648,-
11,서울특별시,강평주유소 ㈜강평텔레콤,서울 광진구 아차산로 616,SK에너지,02-2201-0736,N,2057,1848,1747,1598
12,서울특별시,태양주유소,서울 광진구 동일로 345 (중곡동),HD현대오일뱅크,02-464-5141,N,-,-,-,-
0,서울특별시,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,HD현대오일뱅크,02-889-8929,N,-,1639,1539,-
1,서울특별시,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),알뜰주유소,02-871-1356,Y,-,1639,1539,1500
2,서울특별시,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),SK에너지,02-882-5189,Y,-,1654,1554,-
3,서울특별시,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),SK에너지,02-871-5189,Y,2045,1654,1555,-
4,서울특별시,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,02-877-0867,Y,1845,1665,1565,1450
5,서울특별시,현대주유소,서울 관악구 난곡로 108 (신림동),HD현대오일뱅크,02-851-9200,N,-,1669,1569,-
6,서울특별시,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),HD현대오일뱅크,02-839-0081,N,-,1669,1554,1500
7,서울특별시,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),SK에너지,02-885-5189,N,1834,1675,1575,1450
8,서울특별시,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),SK에너지,02-584-2522,N,1834,1675,1575,-
9,서울특별시,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),HD현대오일뱅크,02-867-1877,Y,1989,1684,1564,-
