"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","도로명주소코드","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"80","1174000000","51","서울특별시","강동구","강동고등학교 운동장","1174010300102670000020190","1174010300","1174052000","서울특별시 강동구 상일동 267-0","4560","127.161019","37.550251","214228.676957","550093.516071"
"82","1174000000","52","서울특별시","강동구","한영고등학교 운동장","1174010300101660000020242","1174010300","1174052000","서울특별시 강동구 상일동 166-0","5380","127.157354","37.548818","213905.009707","549933.921501"
"83","1174000000","5","서울특별시","강동구","상일초등학교 운동장","1174010300103580002020462","1174010300","1174052000","서울특별시 강동구 상일동 325-1","2180","127.172364","37.546988","215231.803084","549733.199102"
"84","1150000000","132","서울특별시","강서구","서울공항초등학교 운동장","1150010500103990000000001","1150010500","1150060000","서울특별시 강서구 마곡동 743-5","2316","126.821753","37.562688","184251.606884","551476.642573"
"85","1168000000","123","서울특별시","강남구","중동중학교 운동장","1168011400106920000002797","1168011400","1168074000","서울특별시 강남구 일원동 692-0","4641","127.077793","37.488896","206879.937089","543274.554050"
"86","1130500000","42","서울특별시","강북구","혜화여자고등학교 운동장","1130510300104680043013738","1130510300","1130561000","서울특별시 강북구 수유동 468-43","2951","127.013177","37.630624","201163.159007","559001.981358"
"87","1130500000","26","서울특별시","강북구","강북중학교운동장","1130510300106940000008609","1130510300","1130563000","서울특별시 강북구 수유동 694","3312","127.025972","37.644769","202292.142448","560572.107689"
"88","1130500000","22","서울특별시","강북구","번동초등학교운동장","1130510200102360000014765","1130510200","1130560600","서울특별시 강북구 번동 236","3329","127.040750","37.628963","203597.169886","558818.262339"
"89","1130500000","23","서울특별시","강북구","오현초등학교운동장","1130510200102480000014782","1130510200","1130560600","서울특별시 강북구 번동 248","4045","127.046881","37.623176","204138.693408","558176.190286"
"90","1130500000","19","서울특별시","강북구","번동중학교운동장","1130510200102310000015894","1130510200","1130560000","서울특별시 강북구 번동 231","4356","127.036848","37.632117","203252.550465","559168.171608"
"91","1130500000","56","서울특별시","강북구","수송초등학교 운동장","1130510200104560000018125","1130510200","1130559000","서울특별시 강북구 번동 456-0","1005","127.032630","37.636746","202880.089418","559681.841029"
"280","1135000000","44","서울특별시","노원구","중평중학교 운동장","1135010400102710002012744","1135010400","1135061200","서울특별시 노원구 하계동 271-2","2870","127.062423","37.636613","205509.725455","559668.369539"
"282","1135000000","19","서울특별시","노원구","하계중학교 운동장","1135010400102310004012980","1135010400","1135061100","서울특별시 노원구 하계동 231-4","4890","127.071503","37.640762","206310.789286","560129.465214"
"292","1135000000","57","서울특별시","노원구","연촌초등학교 운동장","1135010400101540012013628","1135010400","1135061100","서울특별시 노원구 하계동 152-0","3680","127.073176","37.634592","206458.950367","559444.814900"
"293","1135000000","18","서울특별시","노원구","공릉중학교 운동장","1135010300102500000014399","1135010300","1135060000","서울특별시 노원구 공릉동 250-0","4590","127.084164","37.621870","207430.141165","558033.596102"
"294","1135000000","43","서울특별시","노원구","불암중학교 운동장","1135010400102880003012921","1135010400","1135061100","서울특별시 노원구 하계동 288-3","3680","127.073823","37.645554","206515.154053","560661.456395"
"299","1135000000","54","서울특별시","노원구","태랑중학교 운동장","1135010300101170000015183","1135010300","1135060000","서울특별시 노원구 공릉동 117-0","4870","127.091720","37.626535","208096.720990","558552.031687"
"304","1135000000","68","서울특별시","노원구","한천중학교 운동장","1135010300104810000014273","1135010300","1135060000","서울특별시 노원구 공릉동 481-0","3580","127.072880","37.630909","206433.193589","559036.043296"
"305","1135000000","64","서울특별시","노원구","태릉초등학교 운동장","1135010300102500005014388","1135010300","1135060000","서울특별시 노원구 공릉동 250-5","4630","127.084996","37.622405","207503.532573","558093.049676"
"310","1135000000","72","서울특별시","노원구","태랑초등학교 운동장","1135010300101160000015184","1135010300","1135060000","서울특별시 노원구 공릉동 116-0","2020","127.090928","37.625871","208026.860276","558478.231961"
"311","1135000000","17","서울특별시","노원구","용원초등학교 운동장","1135010300107090000013705","1135010300","1135059500","서울특별시 노원구 공릉동 709-0","3490","127.069106","37.628949","206100.236853","558818.166776"
"312","1135000000","16","서울특별시","노원구","공릉초등학교 운동장","1135010300106100001016638","1135010300","1135059500","서울특별시 노원구 공릉동 610-1","4540","127.074244","37.619067","206554.622540","557721.750391"
"317","1135000000","73","서울특별시","노원구","청원초등학교 운동장","1135010500106410000000437","1135010500","1135071000","서울특별시 노원구 상계동 641-0","3140","127.061338","37.665748","205411.849553","562901.980944"
"318","1135000000","32","서울특별시","노원구","상경중학교 운동장","1135010500106530000000619","1135010500","1135070000","서울특별시 노원구 상계동 653-0","3530","127.053599","37.666462","204728.956234","562980.835266"
"331","1135000000","69","서울특별시","노원구","상경초등학교 운동장","1135010500106210000000703","1135010500","1135070000","서울특별시 노원구 상계동 621-0","2660","127.051701","37.670123","204561.310574","563387.077325"
"352","1135000000","80","서울특별시","노원구","노원고등학교 운동장","1135010500106640000000709","1135010500","1135070000","서울특별시 노원구 상계동 664-0","2930","127.053395","37.662220","204711.246472","562510.038615"
"353","1135000000","30","서울특별시","노원구","당현초등학교 운동장","1135010500107420000000961","1135010500","1135069500","서울특별시 노원구 상계동 742-0","3580","127.058320","37.648570","205146.778491","560995.245721"
"354","1135000000","70","서울특별시","노원구","동일초등학교 운동장","1135010500106550000000646","1135010500","1135070000","서울특별시 노원구 상계동 655-0","2380","127.054657","37.664834","204822.382200","562800.202066"
"355","1135000000","31","서울특별시","노원구","신상중학교 운동장","1135010500107540004020191","1135010500","1135069500","서울특별시 노원구 상계동 754-4","4220","127.063564","37.651115","205609.367665","561278.030437"
"356","1135000000","50","서울특별시","노원구","상천초등학교 운동장","1135010500107680000000919","1135010500","1135069500","서울특별시 노원구 상계동 768-0","3500","127.057883","37.645922","205108.332417","560701.367892"
"357","1135000000","39","서울특별시","노원구","노원중학교 운동장","1135010500107430000000915","1135010500","1135069500","서울특별시 노원구 상계동 743-0","2540","127.059800","37.649013","205277.324684","561044.517936"
"362","1135000000","49","서울특별시","노원구","상수초등학교 운동장","1135010500107550000000856","1135010500","1135069500","서울특별시 노원구 상계동 755-0","2230","127.064823","37.651447","205720.395031","561314.974711"
"363","1135000000","48","서울특별시","노원구","신상계초등학교 운동장","1135010500100860001005017","1135010500","1135066500","서울특별시 노원구 상계동 86-1","2560","127.076151","37.667780","206718.625872","563128.484039"
"364","1135000000","29","서울특별시","노원구","계상초등학교 운동장","1135010500104470001002382","1135010500","1135067000","서울특별시 노원구 상계동 447-1","4270","127.067604","37.663057","205964.883378","562603.764590"
"456","1129000000","70","서울특별시","성북구","장위3동 마을공원","1129013800100770079000001","1129013800","1129078000","서울특별시 성북구 장위동 77-79","5331","127.053366","37.617002","204711.513732","557491.295355"
"457","1130500000","48","서울특별시","강북구","체류지 마을마당(미아마을마당)","1130510100100510029028209","1130510100","1130554500","서울특별시 강북구 미아동 51-29","1158","127.032948","37.611980","202909.114729","556933.049243"
"458","1129000000","64","서울특별시","성북구","상길례 문화공원","1129013800102900009008456","1129013800","1129078000","서울특별시 성북구 장위동 289-29","4281","127.045341","37.619697","204002.884639","557790.067818"
"459","1129000000","71","서울특별시","성북구","간대어린이공원","","1129013800","1129076000","서울특별시 성북구 장위동 207-34","6192","127.050662","37.618209","204472.742020","557625.100873"
"464","1129000000","59","서울특별시","성북구","솔숲 어린이 공원","","1129013300","1129062000","서울특별시 성북구 정릉동 170-62","1947","127.015117","37.604934","201334.864647","556150.616425"
"465","1129000000","60","서울특별시","성북구","늘푸른-솔향기 어린이 공원","","1129013400","1129062000","서울특별시 성북구 길음동 1184-36","7405","127.021137","37.608361","201866.312535","556531.103157"
"466","1129000000","66","서울특별시","성북구","오동공원 놀이마당","","1129013600","1129068500","서울특별시 성북구 하월곡동 228-4","10034","127.039377","37.609257","203476.838597","556631.135176"
"467","1126000000","63","서울특별시","중랑구","수림대공원(서울장미공원)","","1126010400","1126062000","서울특별시 중랑구 묵동 342-3","1620","127.073062","37.615139","206450.640052","557285.666620"
"468","1129000000","63","서울특별시","성북구","동망봉 어린이 공원","1129013200102180017000001","1129013200","1129061000","서울특별시 성북구 보문동3가 229-1","1355","127.016993","37.583682","201500.958333","553791.902038"
"469","1129000000","61","서울특별시","성북구","한울 어린이 공원","","1129013300","1129062000","서울특별시 성북구 정릉동 169-16","1965","127.013909","37.605865","201228.195700","556253.928170"
"470","1123000000","42","서울특별시","동대문구","간데메공원","1123010500104710000021226","1123010500","1123060000","서울특별시 동대문구 답십리동 471-0","15179","127.048688","37.573341","204301.038038","552645.230782"
"471","1123000000","50","서울특별시","동대문구","안골어린이공원","1123010600104020000040725","1123010600","1123065000","서울특별시 동대문구 장안동 402-0","1652","127.064349","37.565320","205685.160102","551755.797017"
"476","1121500000","46","서울특별시","광진구","어린이대공원","1121510300100180000022429","1121510200","1121578000","서울특별시 광진구 능동 18-0","225000","127.081218","37.549086","207177.013854","549955.129356"
"477","1120000000","77","서울특별시","성동구","성원어린이 공원","1120011400100130021007532","1120011400","1120066000","서울특별시 성동구 성수동1가 13-21","633","127.050055","37.550213","204423.157104","550078.290417"
"478","1120000000","58","서울특별시","성동구","송정체육공원","","1120011800","1120072000","서울특별시 성동구 송정동 73-254","3350","127.067335","37.553254","205949.880471","550416.798529"
"479","1120000000","73","서울특별시","성동구","용답토속공원","1120012200102230000001204","1120012200","1120079000","서울특별시 성동구 용답동 223-0","4832","127.056893","37.563215","205026.502106","551521.681190"
"480","1147000000","135","서울특별시","양천구","목4동 소공원","","1147010200","1147051000","서울특별시 양천구 목동 904-5","435","126.868840","37.532646","188407.175357","548135.497146"
"481","1147000000","48","서울특별시","양천구","용왕산근린공원 운동장","1147010200202020016019988","1147010200","1147052000","서울특별시 양천구 목동 202-16","195308","126.877930","37.543193","189212.120682","549305.024189"
"482","1147000000","53","서울특별시","양천구","백석어린이공원","1147010200106460023018264","1147010200","1147053000","서울특별시 양천구 목동 646-23","708","126.865026","37.545176","188072.083480","549526.632458"
"483","1147000000","133","서울특별시","양천구","창의어린이놀이터(목동근린공원)","","1147010200","1147051000","서울특별시 양천구 목동 517-0","6606","126.878566","37.546619","189268.815707","549685.162676"
"484","1147000000","131","서울특별시","양천구","모세미어린이공원","","1147010200","1147051000","서울특별시 양천구 목동 772-1","988","126.868684","37.535230","188393.759802","548422.342948"
"485","1144000000","75","서울특별시","마포구","구룡(근린)공원","1144012700115830000000001","1144012700","1144074000","서울특별시 마포구 상암동 1583-0","14286","126.883921","37.582996","189747.034500","553721.970376"
"486","1147000000","44","서울특별시","양천구","오목공원","1147010200109210000020871","1147010200","1147051000","서울특별시 양천구 목동 921-0","21021","126.873202","37.527994","188792.012552","547618.690131"
"487","1147000000","46","서울특별시","양천구","달마을근린공원","","1147010200","1147051000","서울특별시 양천구 목동 904-5","28606","126.868821","37.532616","188405.471777","548132.224835"
"488","1144000000","39","서울특별시","마포구","큰길어린이공원","1144012500102000050017256","1144012500","1144073000","서울특별시 마포구 성산동 200-50","672","126.908181","37.567718","191888.216929","552023.996099"
"489","1144000000","77","서울특별시","마포구","휴암문화공원","1144012700117520000000001","1144012700","1144074000","서울특별시 마포구 상암동 670-0","5137","126.880264","37.583010","189423.978900","553723.958040"
"494","1144000000","71","서울특별시","마포구","은행나무어린이공원","1144012400102500009015743","1144012400","1144071000","서울특별시 마포구 연남동 250-9","898","126.922343","37.564582","193139.070565","551674.771933"
"503","1144000000","72","서울특별시","마포구","느티어린이공원","1144012400105630005129386","1144012400","1144071000","서울특별시 마포구 연남동 563-5","826","126.918811","37.559662","192826.569936","551129.000263"
"504","1144000000","84","서울특별시","마포구","한마음(어린이)공원","1144012300103810001129324","1144012300","1144069000","서울특별시 마포구 망원동 381-1","724","126.908043","37.554549","191874.622199","550562.382917"
"509","1144000000","66","서울특별시","마포구","양화진역사공원","1144012200101390021012251","1144012200","1144068000","서울특별시 마포구 합정동 139-21","2000","126.911107","37.545679","192144.386979","549577.637867"
"510","1144000000","69","서울특별시","마포구","양화어린이공원","1144012200103940001129410","1144012200","1144068000","서울특별시 마포구 합정동 394-1","450","126.908540","37.550458","191918.047855","550108.290974"
"511","1144000000","83","서울특별시","마포구","윗잔다리 어린이공원","1144012100101680001011808","1144012100","1144066000","서울특별시 마포구 동교동 168-1","2935","126.926245","37.557213","193483.186592","550856.642107"
